,PBP,Annual Var Cost,% Peak kWh Shaved,Total kWh Purchased,% Purchased During Off-Peak,Peak kWh Shaved,% Purchased During Peak,% Annual Cost Savings,% Peak Demand Battery,Annual Savings,Initial Cost,Hours Battery Full,Annual System Eff,Hours Battery Depleted,Hours on Battery Only
1.0,18.559976658094751,640.09,0.13533105968223111,8566.2594861591642,0.81839453935366158,243.4825000000028,0.18160546064633837,,0.19570388881045675,,1666.6666666666667,3914,0.97397306414551377,2224,32
2.0,16.92688466328179,621.58,0.27066211936445905,8789.2129723183189,0.85070369734664797,486.96499999999992,0.14929630265335206,,0.36737603395358376,,1833.3333333333335,3914,0.94926656417102528,1799,457
5.0,14.52984864173472,569.3,0.65514229680262348,9423.4238411761344,0.93415823320087865,1178.707125000004,0.065841766799121362,,0.72651879041464951,,2333.3333333333335,1,0.88537946935417577,795,1461
7.5,15.399350214315891,551.31,0.80488471855230426,9673.5879832376959,0.96371108624759649,1448.1180000000038,0.036288913752403527,,0.8335197164013024,,2750.0,2,0.86248308429687293,382,1874
10.0,17.097804591383721,544.68,0.87716170083627842,9792.5364058140112,0.97743117913058908,1578.1560000000036,0.022568820869410783,,0.8975528607207135,,3166.666666666667,1,0.85200663589531711,248,2008
15.0,20.471985357531818,534.5,0.99217024370234586,9985.8561481663946,0.9985893047335167,1785.0750000000037,0.0014106952664831513,,0.99696080730918057,,4000.0000000000005,1,0.83551233626893529,20,2236
20.0,24.715478373284725,534.33,0.99986104642050022,10008.205496509807,0.99997502049692255,1798.9120000000037,2.497950307746809e-05,,1.0,,4833.333333333334,2,0.83364655161303414,1,2255
25.0,28.916143480942374,533.92,1.0,10000.515331760871,1.0,1799.1620000000037,0.0,,1.0,,5666.666666666667,1,0.834287606509868,1,2256
30.0,33.467380746604533,535.67,1.0,10033.876642090047,1.0,1799.1620000000037,0.0,,1.0,,6500.000000000001,1,0.83151371076275393,1,2256
